ENERGY STAR Score
1.0
2.0
90.0
89.0
29.0
68.0
93.0
100.0
78.0
100.0
85.0
100.0
83.0
70.0
62.0
88.0
1.0
32.0
75.0
24.0
98.0
2.0
62.0
1.0
100.0
20.0
80.0
73.0
64.0
99.0
16.0
82.0
69.0
69.0
71.0
95.0
12.0
22.0
84.0
68.0
48.0
52.0
98.0
90.0
83.0
87.0
100.0
84.0
68.0
100.0
90.0
74.0
65.0
49.0
49.0
16.0
43.0
65.0
58.0
28.0
85.0
5.0
100.0
85.0
99.0
70.0
77.0
67.0
88.0
11.0
92.0
62.0
71.0
98.0
52.0
75.0
60.0
86.0
32.0
14.0
35.0
12.0
16.0
97.0
6.0
71.0
63.0
49.0
92.0
28.0
42.0
48.0
49.0
38.0
100.0
96.0
79.0
99.0
7.0
100.0
78.0
100.0
72.0
3.0
62.0
39.0
56.0
80.0
72.0
100.0
100.0
80.0
41.0
51.0
39.0
41.0
79.0
91.0
73.0
90.0
20.0
100.0
50.0
100.0
84.0
41.0
86.0
100.0
61.0
32.0
32.0
86.0
100.0
78.0
94.0
100.0
85.0
39.0
5.0
83.0
60.0
100.0
89.0
100.0
53.0
100.0
76.0
39.0
39.0
1.0
75.0
65.0
83.0
84.0
28.0
20.0
66.0
99.0
80.0
8.0
79.0
99.0
59.0
9.0
53.0
34.0
77.0
64.0
94.0
100.0
83.0
87.0
85.0
36.0
18.0
75.0
73.0
62.0
85.0
88.0
67.0
64.0
66.0
99.0
100.0
81.0
77.0
79.0
87.0
24.0
40.0
83.0
15.0
94.0
16.0
79.0
59.0
1.0
76.0
62.0
30.0
70.0
26.0
71.0
82.0
19.0
73.0
53.0
36.0
47.0
91.0
51.0
100.0
26.0
43.0
39.0
38.0
100.0
84.0
84.0
69.0
84.0
89.0
32.0
20.0
90.0
79.0
30.0
66.0
31.0
46.0
10.0
10.0
72.0
85.0
76.0
68.0
76.0
31.0
19.0
99.0
52.0
62.0
80.0
48.0
93.0
82.0
82.0
14.0
90.0
77.0
94.0
38.0
47.0
38.0
94.0
14.0
67.0
50.0
8.0
40.0
100.0
42.0
58.0
89.0
11.0
67.0
78.0
1.0
87.0
73.0
95.0
70.0
74.0
100.0
100.0
76.0
5.0
